id,market,side_id
0,Match Odds,0
1,Correct Score,1
2,Goal Line,2
3,Over/Under NUMBER Goals,8
4,1st Half Over/Under NUMBER Goals,8
5,Result & Both to Score,4
6,Both teams to Score,3
7,Both Teams to Score in Both Halves,3
8,Both Teams to Score NUMBER or More Goals,3
9,Handicap Betting,5
10,Alternative Handicaps,5
11,Half-Time,0
12,Full-Time,0
13,Full Time Result,0
14,Team to Score the First Goal,0
15,Half Time Result,0
16,TEAM to win SCORELINE, SCORELINE, or SCORELINE,3
17,Draw No Bet,0
18,To Score in Both Halves,0
19,To Win Either Half,0
20,Player to Score or Assist,9
21,Player to Score First,9
22,PLAYER to Score First,3
23,Player to Score,9
24,Player to Be Booked,9
25,Player to Be Sent Off,9
26,Player Assists,7
27,Player Goals,7
28,Player Shots On Target,7
29,Player Shots,7
30,Both Teams to Receive a Card,3
31,Alternative Corners,2
32,Alternative Away Team Total Cards,2
33,Team First Goalscorer,9
34,Total Goals,2
35,Double Chance,6
36,Alternative Home Team Total Cards,2